RINEX           MARKER NAME      AVAILABLE REFERENCE EXCLUDED
ajac2160.15d    AJAC 10077M005   Yes       No        No      
drag2160.15d    DRAG 20710S001   Yes       Yes       No      
                EVPA 12344M001   No        No        No      
graz2160.15d    GRAZ 11001M002   Yes       Yes       No      
igeo2160.15d    IGEO 15101M001   Yes       No        No      
mikl2160.15d    MIKL 12335M001   Yes       No        No      
ramo2160.15d    RAMO 20703S001   Yes       Yes       No      
unpg2160.15d    UNPG 12752M001   Yes       No        No      
uzhl2160.15d    UZHL 12301M001   Yes       Yes       No      
zeck2160.15d    ZECK 12351M001   Yes       Yes       No      
baia2160.15d    BAIA 11406M001   Yes       No        No      
cost2160.15d    COST 11407M001   Yes       No        No      
deva2160.15d    DEVA 11408M001   Yes       No        No      
dub22160.15d    DUB2 11901M002   Yes       No        No      
ista2160.15d    ISTA 20807M001   Yes       Yes       No      
mops2160.15d    MOPS 12791M001   Yes       No        No      
orid2160.15d    ORID 15601M001   Yes       No        No      
poze2160.15d    POZE 11908M001   Yes       No        No      
usal2160.15d    USAL 19527M001   Yes       No        No      
zada2160.15d    ZADA 11905M001   Yes       No        No      
zouf2160.15d    ZOUF 12763M001   Yes       No        No      
ankr2160.15d    ANKR 20805M002   Yes       Yes       No      
lamp2160.15d    LAMP 12706M002   Yes       No        No      
larm2160.15d    LARM 12610M002   Yes       No        No      
                M0SE 12772M001   No        No        No      
nico2160.15d    NICO 14302M001   Yes       Yes       No      
noa12160.15d    NOA1 12620M001   Yes       No        No      
not12160.15d    NOT1 12717M004   Yes       Yes       No      
pat02160.15d    PAT0 12622M001   Yes       No        No      
tuc22160.15d    TUC2 12617M003   Yes       No        No      
bucu2160.15d    BUCU 11401M001   Yes       Yes       No      
duth2160.15d    DUTH 12621M001   Yes       No        No      
dyng2160.15d    DYNG 12602M006   Yes       No        No      
mate2160.15d    MATE 12734M008   Yes       Yes       No      
penc2160.15d    PENC 11206M006   Yes       No        No      
sofi2160.15d    SOFI 11101M002   Yes       Yes       No      
kasi2160.15d    KASI             Yes       No        No      
span2160.15d    SPAN             Yes       No        No      
pont2160.15d    PONT             Yes       No        No      
kefa2160.15d    KEFA             Yes       No        No      
                KIPO             No        No        No      
klok2160.15d    KLOK             Yes       No        No      
                NVRK             No        No        No      
lemn2160.15d    LEMN             Yes       No        No      
prkv2160.15d    PRKV             Yes       No        No      
katc2160.15d    KATC             Yes       No        No      
                VOLI             No        No        No      
                EYPA             No        No        No      
                PSAR             No        No        No      
                TRIZ             No        No        No      
sant2160.15d    SANT             Yes       No        No      
rlso2160.15d    RLSO             Yes       No        No      
