AJAC 10077M005
DRAG 20710S001
GRAZ 11001M002
IGEO 15101M001
MIKL 12335M001
RAMO 20703S001
UNPG 12752M001
UZHL 12301M001
ZECK 12351M001
BAIA 11406M001
COST 11407M001
DEVA 11408M001
DUB2 11901M002
ISTA 20807M001
MOPS 12791M001
ORID 15601M001
POZE 11908M001
USAL 19527M001
ZADA 11905M001
ZOUF 12763M001
ANKR 20805M002
LAMP 12706M002
LARM 12610M002
NICO 14302M001
NOA1 12620M001
NOT1 12717M004
PAT0 12622M001
TUC2 12617M003
BUCU 11401M001
DUTH 12621M001
DYNG 12602M006
MATE 12734M008
PENC 11206M006
SOFI 11101M002
KASI
SPAN
PONT
KEFA
KLOK
LEMN
PRKV
KATC
SANT
RLSO
